Time,GMSL,GMSL uncertainty
1880,-183.0,24.2
1880,-171.1,24.2
1880,-164.3,24.2
1880,-158.2,24.2
1880,-158.7,24.2
1880,-159.6,24.2
1880,-159.6,24.2
1880,-161.8,24.2
1880,-158.9,24.2
1880,-150.3,24.2
1880,-144.5,24.2
1880,-134.7,24.2
1881,-136.4,24.2
1881,-139.2,24.2
1881,-145.2,24.2
1881,-151.1,24.2
1881,-152.2,24.2
1881,-154.2,24.2
1881,-147.7,24.2
1881,-151.4,24.2
1881,-156.0,24.2
1881,-165.5,24.2
1881,-167.9,24.2
1881,-169.9,24.2
1882,-167.8,24.2
1882,-162.0,22.9
1882,-158.8,22.9
1882,-160.6,22.9
1882,-164.5,22.9
1882,-165.2,22.9
1882,-167.3,22.9
1882,-169.0,22.9
1882,-174.9,22.9
1882,-181.5,22.9
1882,-182.5,22.9
1882,-184.5,22.9
1883,-179.9,22.8
1883,-180.0,22.8
1883,-172.4,22.8
1883,-172.3,22.8
1883,-164.0,22.8
1883,-163.6,22.8
1883,-161.1,22.8
1883,-162.0,22.8
1883,-159.3,22.8
1883,-158.2,22.8
1883,-153.2,22.8
1883,-149.1,22.8
1884,-142.5,22.2
1884,-139.5,22.2
1884,-137.0,22.2
1884,-135.2,22.2
1884,-136.0,22.2
1884,-140.0,22.2
1884,-143.3,22.2
1884,-146.8,22.2
1884,-150.4,22.2
1884,-150.4,22.2
1884,-154.0,22.2
1884,-149.9,22.2
1885,-153.1,22.2
1885,-148.3,21.9
1885,-145.3,21.9
1885,-142.7,21.9
1885,-143.1,21.9
1885,-142.7,21.9
1885,-148.4,21.9
1885,-143.2,21.9
1885,-146.5,21.9
1885,-141.2,21.9
1885,-143.3,21.9
1885,-145.1,21.9
1886,-147.3,20.8
1886,-152.2,20.8
1886,-146.8,20.8
1886,-142.0,20.8
1886,-134.7,20.8
1886,-135.4,20.8
1886,-140.8,20.8
1886,-147.7,20.8
1886,-155.1,20.8
1886,-155.2,20.8
1886,-157.9,20.8
1886,-155.8,20.8
1887,-162.2,20.7
1887,-165.8,20.7
1887,-162.9,20.8
1887,-158.8,20.8
1887,-151.9,20.8
1887,-147.1,20.8
1887,-147.3,20.8
1887,-147.5,20.8
1887,-150.6,20.8
1887,-147.5,20.8
1887,-148.8,20.8
1887,-148.0,20.8
1888,-155.3,20.8
1888,-155.6,20.8
1888,-155.0,20.8
1888,-155.2,20.8
1888,-154.2,20.8
1888,-151.6,20.8
1888,-149.0,20.8
1888,-148.5,20.8
1888,-151.5,20.8
1888,-145.0,20.8
1888,-146.0,20.8
1888,-146.0,20.8
1889,-151.1,20.8
1889,-147.4,20.8
1889,-144.3,20.7
1889,-145.0,20.7
1889,-145.9,20.7
1889,-145.8,20.7
1889,-147.0,20.7
1889,-147.6,20.7
1889,-151.3,20.7
1889,-153.8,20.7
1889,-157.6,20.7
1889,-157.2,20.7
1890,-152.3,20.7
1890,-151.4,20.7
1890,-140.0,20.7
1890,-138.1,20.7
1890,-135.3,20.7
1890,-140.2,20.7
1890,-144.2,20.7
1890,-147.8,20.7
1890,-149.4,20.7
1890,-151.8,20.7
1890,-155.9,20.7
1890,-163.9,20.7
1891,-162.9,20.7
1891,-163.9,20.7
1891,-148.1,20.7
1891,-150.8,20.7
1891,-145.4,20.7
1891,-148.4,20.7
1891,-143.8,20.7
1891,-142.2,20.7
1891,-143.2,20.7
1891,-144.5,20.7
1891,-148.2,20.7
1891,-148.8,20.7
1892,-145.8,20.7
1892,-139.3,20.7
1892,-139.8,20.7
1892,-138.6,20.7
1892,-143.1,20.7
1892,-141.6,20.7
1892,-145.8,20.7
1892,-146.6,20.7
1892,-151.7,20.7
1892,-151.5,20.7
1892,-156.3,20.7
1892,-152.4,20.7
1893,-147.5,20.2
1893,-143.8,20.2
1893,-136.7,20.2
1893,-137.9,20.2
1893,-139.2,20.2
1893,-140.5,20.2
1893,-140.7,20.2
1893,-139.0,20.2
1893,-139.0,20.2
1893,-140.6,20.2
1893,-145.1,20.2
1893,-145.6,21.6
1894,-148.4,21.6
1894,-147.5,21.6
1894,-149.9,21.6
1894,-148.9,21.6
